Provincia,Pantallas,Butacas,espacio_INCAA,date_time
Ciudad Autónoma de Buenos Aires,7,1270,,26-06-2022
Ciudad Autónoma de Buenos Aires,10,2082,,26-06-2022
Ciudad Autónoma de Buenos Aires,2,277,,26-06-2022
Ciudad Autónoma de Buenos Aires,1,237,,26-06-2022
Ciudad Autónoma de Buenos Aires,5,1263,si,26-06-2022
Ciudad Autónoma de Buenos Aires,1,30,,26-06-2022
Ciudad Autónoma de Buenos Aires,5,770,,26-06-2022
Ciudad Autónoma de Buenos Aires,10,1776,,26-06-2022
Ciudad Autónoma de Buenos Aires,8,2314,,26-06-2022
Buenos Aires,1,1200,si,26-06-2022
Buenos Aires,1,350,SI,26-06-2022
Buenos Aires,1,133,si,26-06-2022
Buenos Aires,1,915,si,26-06-2022
Buenos Aires,1,264,si,26-06-2022
Buenos Aires,1,289,SI,26-06-2022
Buenos Aires,12,2580,,26-06-2022
Buenos Aires,1,500,,26-06-2022
Buenos Aires,5,969,,26-06-2022
Buenos Aires,9,2382,,26-06-2022
Buenos Aires,10,2414,,26-06-2022
Buenos Aires,6,1843,,26-06-2022
Buenos Aires,2,350,,26-06-2022
Buenos Aires,1,483,,26-06-2022
Buenos Aires,2,556,,26-06-2022
Buenos Aires,1,450,,26-06-2022
Buenos Aires,6,1327,,26-06-2022
Buenos Aires,7,1501,,26-06-2022
Buenos Aires,2,744,,26-06-2022
Buenos Aires,1,500,,26-06-2022
Buenos Aires,10,2476,,26-06-2022
Buenos Aires,1,750,SI,26-06-2022
Buenos Aires,3,907,,26-06-2022
Buenos Aires,2,120,,26-06-2022
Buenos Aires,2,471,,26-06-2022
Buenos Aires,4,687,,26-06-2022
Buenos Aires,6,1895,,26-06-2022
Buenos Aires,1,160,,26-06-2022
Buenos Aires,2,489,,26-06-2022
Buenos Aires,3,1563,,26-06-2022
Buenos Aires,1,190,,26-06-2022
Buenos Aires,1,902,,26-06-2022
Buenos Aires,2,635,,26-06-2022
Buenos Aires,1,1107,,26-06-2022
Buenos Aires,4,603,,26-06-2022
Buenos Aires,1,270,,26-06-2022
Buenos Aires,6,1613,,26-06-2022
Buenos Aires,1,174,si,26-06-2022
Buenos Aires,1,245,,26-06-2022
Buenos Aires,7,2184,,26-06-2022
Buenos Aires,3,1620,,26-06-2022
Buenos Aires,2,501,,26-06-2022
Buenos Aires,1,160,,26-06-2022
Buenos Aires,8,1905,,26-06-2022
Buenos Aires,4,947,,26-06-2022
Buenos Aires,1,230,SI,26-06-2022
Buenos Aires,14,3890,,26-06-2022
Buenos Aires,17,4214,,26-06-2022
Buenos Aires,3,413,,26-06-2022
Buenos Aires,2,40,,26-06-2022
Buenos Aires,6,1132,,26-06-2022
Buenos Aires,6,1275,,26-06-2022
Buenos Aires,2,551,,26-06-2022
Buenos Aires,10,2505,,26-06-2022
Buenos Aires,1,378,,26-06-2022
Buenos Aires,1,300,si,26-06-2022
Buenos Aires,8,1730,,26-06-2022
Buenos Aires,1,350,,26-06-2022
Buenos Aires,4,758,,26-06-2022
Buenos Aires,9,2675,,26-06-2022
Buenos Aires,16,3427,,26-06-2022
Buenos Aires,1,400,,26-06-2022
Buenos Aires,1,700,,26-06-2022
Buenos Aires,2,487,,26-06-2022
Buenos Aires,1,450,si,26-06-2022
Buenos Aires,6,1114,,26-06-2022
Buenos Aires,1,0,,26-06-2022
Buenos Aires,8,2037,,26-06-2022
Buenos Aires,1,430,si,26-06-2022
Catamarca,1,1103,si,26-06-2022
Buenos Aires,1,390,SI,26-06-2022
